,Acsst5Y2010.S0101-Data.1.2,Geographic Area Name,Total  Estimate  Total Population,Total  Estimate  Selected Age Categories 65 Years And Over
284,2015,Maryland,5930538.0,788762.0
285,2015,Massachusetts,6705586.0,985721.0
286,2015,Michigan,9900571.0,1485086.0
287,2015,Minnesota,5419171.0,753265.0
288,2015,Mississippi,2988081.0,415343.0
289,2015,Missouri,6045448.0,906817.0
290,2015,Montana,1014699.0,164381.0
291,2015,Nebraska,1869365.0,263580.0
292,2015,Nevada,2798636.0,380614.0
293,2015,New Hampshire,1324201.0,202603.0
294,2015,New Jersey,8904413.0,1282235.0
295,2015,New Mexico,2084117.0,306365.0
296,2015,New York,19673174.0,2813264.0
297,2015,North Carolina,9845333.0,1398037.0
298,2015,North Dakota,721640.0,102473.0
299,2015,Ohio,11575977.0,1747973.0
300,2015,Oklahoma,3849733.0,546662.0
301,2015,Oregon,3939233.0,606642.0
302,2015,Pennsylvania,12779559.0,2083068.0
303,2015,Rhode Island,1053661.0,162264.0
304,2015,South Carolina,4777576.0,726192.0
305,2015,South Dakota,843190.0,125635.0
306,2015,Tennessee,6499615.0,948944.0
307,2015,Texas,26538614.0,2972325.0
308,2015,Utah,2903379.0,281628.0
309,2015,Vermont,626604.0,102136.0
310,2015,Virginia,8256630.0,1098132.0
311,2015,Washington,6985464.0,950023.0
312,2015,West Virginia,1851420.0,318444.0
313,2015,Wisconsin,5742117.0,849833.0
314,2015,Wyoming,579679.0,78257.0
316,2016,Alabama,4841164.0,740698.0
317,2016,Alaska,736855.0,69264.0
318,2016,Arizona,6728577.0,1069844.0
319,2016,Arkansas,2968472.0,466050.0
320,2016,California,38654206.0,4986393.0
321,2016,Colorado,5359295.0,680630.0
322,2016,Connecticut,3588570.0,556228.0
323,2016,Delaware,934695.0,154225.0
324,2016,District of Columbia,659009.0,75127.0
325,2016,Florida,19934451.0,3807480.0
326,2016,Georgia,10099320.0,1242216.0
327,2016,Hawaii,1413673.0,227601.0
328,2016,Idaho,1635483.0,233874.0
329,2016,Illinois,12851684.0,1786384.0
330,2016,Indiana,6589578.0,942310.0
331,2016,Iowa,3106589.0,490841.0
332,2016,Kansas,2898292.0,414456.0
333,2016,Kentucky,4411989.0,652974.0
334,2016,Louisiana,4645670.0,631811.0
335,2016,Maine,1329923.0,242046.0
336,2016,Maryland,5959902.0,822466.0
337,2016,Massachusetts,6742143.0,1018064.0
338,2016,Michigan,9909600.0,1526078.0
339,2016,Minnesota,5450868.0,779474.0
340,2016,Mississippi,2989192.0,427454.0
341,2016,Missouri,6059651.0,927127.0
342,2016,Montana,1023391.0,170906.0
343,2016,Nebraska,1881259.0,270901.0
344,2016,Nevada,2839172.0,400323.0
345,2016,New Hampshire,1327503.0,209745.0
346,2016,New Jersey,8915456.0,1310572.0
347,2016,New Mexico,2082669.0,318648.0
348,2016,New York,19697457.0,2895526.0
349,2016,North Carolina,9940828.0,1461302.0
350,2016,North Dakota,736162.0,104535.0
351,2016,Ohio,11586941.0,1795976.0
352,2016,Oklahoma,3875589.0,561960.0
353,2016,Oregon,3982267.0,633180.0
354,2016,Pennsylvania,12783977.0,2134924.0
355,2016,Rhode Island,1054491.0,166610.0
356,2016,South Carolina,4834605.0,763868.0
357,2016,South Dakota,851058.0,129361.0
358,2016,Tennessee,6548009.0,982201.0
359,2016,Texas,26956435.0,3099990.0
360,2016,Utah,2948427.0,294843.0
361,2016,Vermont,626249.0,106462.0
362,2016,Virginia,8310301.0,1146822.0
363,2016,Washington,7073146.0,990240.0
364,2016,West Virginia,1846092.0,328604.0
365,2016,Wisconsin,5754798.0,874729.0
366,2016,Wyoming,583029.0,80458.0
368,2017,Alabama,4850771.0,172691.0
369,2017,Alaska,738565.0,33652.0
370,2017,Arizona,6809946.0,251540.0
371,2017,Arkansas,2977944.0,104944.0
372,2017,California,38982847.0,1480311.0
373,2017,Colorado,5436519.0,196322.0
374,2017,Connecticut,3594478.0,127823.0
375,2017,Delaware,943732.0,31721.0
376,2017,District of Columbia,672391.0,25453.0
377,2017,Florida,20278447.0,663014.0
378,2017,Georgia,10201635.0,368719.0
379,2017,Hawaii,1421658.0,55232.0
380,2017,Idaho,1657375.0,58696.0
381,2017,Illinois,12854526.0,452122.0
382,2017,Indiana,6614418.0,246250.0
383,2017,Iowa,3118102.0,117367.0
384,2017,Kansas,2903820.0,114510.0
385,2017,Kentucky,4424376.0,160770.0
386,2017,Louisiana,4663461.0,171740.0
387,2017,Maine,1330158.0,40607.0
388,2017,Maryland,5996079.0,202418.0
389,2017,Massachusetts,6789319.0,246086.0
390,2017,Michigan,9925568.0,369574.0
391,2017,Minnesota,5490726.0,184565.0
392,2017,Mississippi,2986220.0,109462.0
393,2017,Missouri,6075300.0,217156.0
394,2017,Montana,1029862.0,38397.0
395,2017,Nebraska,1893921.0,70150.0
396,2017,Nevada,2887725.0,94088.0
397,2017,New Hampshire,1331848.0,46216.0
398,2017,New Jersey,8960161.0,294985.0
399,2017,New Mexico,2084828.0,77736.0
400,2017,New York,19798228.0,707740.0
401,2017,North Carolina,10052564.0,367552.0
402,2017,North Dakota,745475.0,36185.0
403,2017,Ohio,11609756.0,397736.0
404,2017,Oklahoma,3896251.0,145131.0
405,2017,Oregon,4025127.0,135409.0
406,2017,Pennsylvania,12790505.0,436679.0
407,2017,Rhode Island,1056138.0,40869.0
408,2017,South Carolina,4893444.0,175139.0
409,2017,South Dakota,855444.0,31646.0
410,2017,Tennessee,6597381.0,229529.0
411,2017,Texas,27419612.0,1024950.0
412,2017,Utah,2993941.0,127878.0
413,2017,Vermont,624636.0,23770.0
414,2017,Virginia,8365952.0,303515.0
415,2017,Washington,7169967.0,253125.0
416,2017,West Virginia,1836843.0,61792.0
417,2017,Wisconsin,5763217.0,205743.0
418,2017,Wyoming,583200.0,22300.0
